JobID,Title,ExperienceLevel,YearsOfExperience,Responsibilities,Keywords,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10,Skill_11,Skill_12,Skill_13,Skill_14,Skill_15,Skill_16,Skill_17,Skill_18,Skill_19,Skill_20,Skill_21,Skill_22,Skill_23,Skill_24,Skill_25,Skill_26,Skill_27,Skill_28,Skill_29,Skill_30,Skill_31,Skill_32,Skill_33,Skill_34,Skill_35
NET-E-011,.NET Developer,Experienced,3+,Design and develop advanced .NET applications; Implement microservices with ASP.NET Core; Manage SQL Server database performance; Develop REST APIs; Deploy applications using Docker; Integrate with Azure cloud services,.NET Core; C#; ASP.NET MVC; Microservices; Azure; Entity Framework; REST APIs; Docker,C#,.Net Core,Asp.Net Mvc,Sql Server,Entity Framework,Rest Apis,Docker,Azure,,,,,,,,,,,,,,,,,,,,,,,,,,,
NET-E-012,.NET Developer,Experienced,4+,Architect scalable .NET Core solutions; Implement design patterns in projects; Lead database optimization efforts; Manage CI/CD pipelines with Azure DevOps; Collaborate with cross-functional teams,.NET Core; C#; ASP.NET MVC; SOLID; Azure DevOps; Entity Framework,C#,Asp.Net Core,Sql Server,Entity Framework,Design Patterns,Solid Principles,Azure Devops,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NET-E-013,.NET Developer,Experienced,5+,Develop microservices architecture; Work with Docker and Kubernetes for deployment; Integrate with Azure services; Lead junior developers; Optimize application performance,.NET Core; C#; Microservices; Docker; Kubernetes; Azure,C#,F#,.Net Core,Asp.Net Mvc,Microservices,Docker,Kubernetes,Azure,,,,,,,,,,,,,,,,,,,,,,,,,,,
NET-E-014,.NET Developer,Experienced,3+,Develop RESTful APIs and real-time apps; Implement SignalR for live communication; Work with SQL Server and NoSQL databases; Lead module development; Ensure application scalability,.NET Core; C#; ASP.NET MVC; WebAPI; SignalR; Entity Framework,C#,Asp.Net Core,Webapi,Signalr,Sql Server,Nosql,Entity Framework,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NET-E-015,.NET Developer,Experienced,5+,Develop front-end with Blazor/Angular; Implement repository pattern with Dapper; Optimize SQL Server queries; Enhance UI/UX for applications; Mentor junior team members,.NET Core; C#; ASP.NET MVC; Blazor; Angular; SQL Server; Dapper,C#,.Net Core,Asp.Net Mvc,Blazor,Angular,Sql Server,Dapper,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NET-E-016,.NET Developer,Experienced,4+,Develop and maintain microservices; Create CI/CD pipelines; Ensure testing coverage with NUnit; Deploy apps with Docker; Collaborate with QA team,.NET Core; C#; ASP.NET MVC; REST APIs; Docker; Azure DevOps; NUnit,C#,.Net Core,Asp.Net Mvc,Rest Apis,Docker,Azure Devops,Testing With Nunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NET-E-017,.NET Developer,Experienced,3+,Build RESTful and gRPC APIs; Integrate services with Azure; Design database schemas; Monitor system performance; Provide technical leadership,.NET Core; C#; WebAPI; gRPC; SQL Server; Azure,C#,Asp.Net Core,Webapi,Grpc,Sql Server,Azure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NET-E-018,.NET Developer,Experienced,5+,Design and manage microservices architecture; Deploy apps on Kubernetes clusters; Ensure best practices with SOLID principles; Lead development sprints; Coordinate with product teams,.NET Core; C#; Microservices; Kubernetes; Entity Framework; Azure; SOLID,C#,Asp.Net Core,Microservices,Kubernetes,Entity Framework,Azure,Solid Principles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NET-E-019,.NET Developer,Experienced,4+,Implement automated unit tests; Use Moq for dependency testing; Develop scalable apps in .NET Core; Lead code review sessions; Optimize app performance,.NET Core; C#; ASP.NET MVC; xUnit; Moq; Azure,C#,.Net Core,Asp.Net Mvc,Testing With Xunit,Moq,Azure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NET-E-020,.NET Developer,Experienced,5+,Lead CI/CD setup in Azure DevOps; Deploy services with Docker/Kubernetes; Architect scalable .NET applications; Coordinate with cross-functional teams; Mentor juniors,.NET Core; C#; ASP.NET MVC; CI/CD; Azure DevOps; Docker; Kubernetes; REST APIs,C#,.Net Core,Asp.Net Mvc,Ci/Cd,Azure Devops,Docker,Kubernetes,Rest Apis,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI001,AI Engineer - Fresher,Entry-Level,0–1 year,Assist in developing AI models; Preprocess data; Implement basic ML algorithms; Participate in hackathons and academic projects,AI; ML; Fresher; Entry-Level; Python; Deep Learning; TensorFlow; PyTorch,Python,Java,C++,R,Supervised/Unsupervised Learning,Regression,Classification,Clustering,Tensorflow,Pytorch,Keras,Scikit-Learn,Neural Networks,Opencv,Nltk,Pandas,Numpy,Sql,Mongodb,Nosql,,,,,,,,,,,,,,,
AI002,AI Engineer - Fresher,Entry-Level,0–1 year,Build simple AI models; Preprocess datasets; Implement basic ML pipelines; Work collaboratively on projects,AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch,Python,Java,C++,R,Classification,Regression,Clustering,Tensorflow,Pytorch,Keras,Scikit-Learn,Neural Networks,Opencv,Nltk,Pandas,Numpy,Sql,Mongodb,,,,,,,,,,,,,,,,,
AI003,AI Engineer - Fresher,Entry-Level,0–1 year,Support AI development; Create and test ML models; Perform data preprocessing and feature engineering; Collaborate with mentors,AI; ML; Fresher; Entry-Level; Python; Deep Learning; TensorFlow; PyTorch,Python,Java,C++,R,Supervised/Unsupervised Learning,Regression,Classification,Clustering,Tensorflow,Pytorch,Keras,Scikit-Learn,Neural Networks,Opencv,Nltk,Pandas,Numpy,Sql,Mongodb,,,,,,,,,,,,,,,,
AI004,AI Engineer - Fresher,Entry-Level,0–1 year,Implement basic AI/ML models; Assist with data preprocessing and visualization; Participate in small projects or hackathons,AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch,Python,Java,C++,R,Classification,Regression,Clustering,Tensorflow,Pytorch,Keras,Scikit-Learn,Neural Networks,Opencv,Nltk,Pandas,Numpy,Sql,Mongodb,,,,,,,,,,,,,,,,,
AI005,AI Engineer - Fresher,Entry-Level,0–1 year,Assist in AI model development; Data cleaning; Implement basic neural networks; Collaborate on academic or hackathon projects,AI; ML; Fresher; Entry-Level; Python; TensorFlow; Deep Learning,Python,Java,C++,R,Supervised/Unsupervised Learning,Regression,Classification,Clustering,Tensorflow,Pytorch,Keras,Scikit-Learn,Neural Networks,Opencv,Nltk,Pandas,Numpy,Sql,Mongodb,,,,,,,,,,,,,,,,
AI006,AI Engineer - Fresher,Entry-Level,0–1 year,Build and train basic AI models; Preprocess datasets; Implement feature engineering techniques; Collaborate in small teams,AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch,Python,Java,C++,R,Classification,Regression,Clustering,Tensorflow,Pytorch,Keras,Scikit-Learn,Neural Networks,Opencv,Nltk,Pandas,Numpy,Sql,Mongodb,,,,,,,,,,,,,,,,,
AI007,AI Engineer - Fresher,Entry-Level,0–1 year,Assist in developing AI pipelines; Train basic ML/DL models; Preprocess data; Participate in hackathons or academic projects,AI; ML; Fresher; Entry-Level; Python; TensorFlow; Deep Learning,Python,Java,C++,R,Supervised/Unsupervised Learning,Regression,Classification,Clustering,Tensorflow,Pytorch,Keras,Scikit-Learn,Neural Networks,Opencv,Nltk,Pandas,Numpy,Sql,Mongodb,,,,,,,,,,,,,,,,
AI008,AI Engineer - Fresher,Entry-Level,0–1 year,"Implement and test ML/AI models; Clean and preprocess data; Contribute to academic, hobby, or hackathon projects",AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch,Python,Java,C++,R,Classification,Regression,Clustering,Tensorflow,Pytorch,Keras,Scikit-Learn,Neural Networks,Opencv,Nltk,Pandas,Numpy,Sql,Mongodb,,,,,,,,,,,,,,,,,
AI009,AI Engineer - Fresher,Entry-Level,0–1 year,Support development of AI projects; Preprocess datasets; Build basic ML/DL models; Participate in collaborative projects and hackathons,AI; ML; Fresher; Entry-Level; Python; TensorFlow; Deep Learning,Python,Java,C++,R,Supervised/Unsupervised Learning,Regression,Classification,Clustering,Tensorflow,Pytorch,Keras,Scikit-Learn,Neural Networks,Opencv,Nltk,Pandas,Numpy,Sql,Mongodb,,,,,,,,,,,,,,,,
AI010,AI Engineer - Experienced,Mid-Senior Level,3–6 years,Architect and deploy scalable AI models; Optimize deep learning and NLP pipelines; Integrate AI solutions with cloud platforms; Lead AI projects,AI; ML; Mid-Senior Level; Deep Learning; NLP; Cloud; MLOps; TensorFlow; PyTorch,Python,Java,C++,R,Deep Learning,Reinforcement Learning,Nlp,Computer Vision,Generative Ai,Llms,Tensorflow,Pytorch,Scikit-Learn,Hugging Face Transformers,Onnx,Aws,Gcp,Azure,Ci/Cd,Mlops,Apache Spark,Hadoop,Docker,Kubernetes,Model Monitoring,Shap,Lime,,,,,,,,
AI011,AI Engineer - Experienced,Senior-Level,4–7 years,"Design, implement, and deploy advanced AI solutions; Lead teams; Ensure cloud integration; Manage MLOps pipelines",AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps,Python,Java,C++,R,Deep Learning,Nlp,Computer Vision,Generative Ai,Llms,Tensorflow,Pytorch,Scikit-Learn,Hugging Face Transformers,Onnx,Aws,Gcp,Azure,Ci/Cd,Mlops,Spark,Hadoop,Docker,Kubernetes,Model Monitoring,Shap,Lime,,,,,,,,,
AI012,AI Engineer - Experienced,Senior-Level,5+ years,Lead AI engineering projects; Deploy scalable deep learning models; Manage cloud-based AI platforms; Mentor junior AI engineers,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps,Python,Java,C++,R,Deep Learning,Nlp,Computer Vision,Reinforcement Learning,Llms,Tensorflow,Pytorch,Keras,Scikit-Learn,Hugging Face Transformers,Aws,Gcp,Azure,Ci/Cd,Docker,Kubernetes,Spark,Hadoop,Shap,Lime,,,,,,,,,,,
AI013,AI Engineer - Experienced,Senior-Level,6+ years,Architect AI/ML pipelines; Integrate models with cloud platforms; Optimize NLP and computer vision solutions; Lead cross-functional AI teams,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps,Python,Java,C++,R,Deep Learning,Nlp,Computer Vision,Llms,Reinforcement Learning,Tensorflow,Pytorch,Scikit-Learn,Hugging Face,Onnx,Aws,Gcp,Azure,Ci/Cd,Docker,Kubernetes,Spark,Hadoop,Shap,Lime,,,,,,,,,,,
AI014,AI Engineer - Experienced,Senior-Level,5–8 years,Design and deploy production-grade AI solutions; Manage AI cloud platforms; Lead AI engineering teams; Implement MLOps practices; Ensure model explainability,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps,Python,Java,C++,R,Deep Learning,Nlp,Computer Vision,Generative Ai,Llms,Tensorflow,Pytorch,Keras,Scikit-Learn,Hugging Face,Onnx,Aws,Gcp,Azure,Docker,Kubernetes,Ci/Cd,Hadoop,Spark,Shap,Lime,,,,,,,,,,
AI015,AI Engineer - Experienced,Senior-Level,5+ years,Lead AI/ML projects; Implement scalable deep learning and NLP pipelines; Deploy models in cloud environments; Mentor junior engineers,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps,Python,Java,C++,R,Deep Learning,Nlp,Computer Vision,Reinforcement Learning,Llms,Tensorflow,Pytorch,Keras,Scikit-Learn,Hugging Face,Aws,Gcp,Azure,Docker,Kubernetes,Ci/Cd,Spark,Hadoop,Shap,Lime,,,,,,,,,,,
AI016,AI Engineer - Experienced,Senior-Level,6+ years,Architect AI pipelines; Optimize deep learning and NLP solutions; Manage cloud AI infrastructure; Lead cross-functional AI teams,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps,Python,Java,C++,R,Deep Learning,Nlp,Computer Vision,Generative Ai,Llms,Tensorflow,Pytorch,Keras,Scikit-Learn,Hugging Face,Onnx,Aws,Gcp,Azure,Docker,Kubernetes,Ci/Cd,Hadoop,Spark,Shap,Lime,,,,,,,,,,
AI017,,Senior-Level,5–10 years,Lead complex AI and ML projects; Develop scalable deep learning and NLP pipelines; Manage cloud AI infrastructure; Mentor junior engineers,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps,Python,Java,C++,R,Deep Learning,Nlp,Computer Vision,Reinforcement Learning,Llms,Tensorflow,Pytorch,Keras,Scikit-Learn,Hugging Face,Aws,Gcp,Azure,Docker,Kubernetes,Ci/Cd,Spark,Hadoop,Shap,Lime,,,,,,,,,,,
AI018,AI Engineer - Experienced,Senior-Level,6+ years,Lead AI/ML initiatives; Deploy advanced deep learning models; Optimize pipelines; Mentor and guide AI teams,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps,Python,Java,C++,R,Deep Learning,Nlp,Computer Vision,Llms,Reinforcement Learning,Tensorflow,Pytorch,Keras,Scikit-Learn,Hugging Face,Aws,Gcp,Azure,Docker,Kubernetes,Ci/Cd,Spark,Hadoop,Shap,Lime,,,,,,,,,,,
AI019,AI Engineer - Experienced,Senior-Level,5–9 years,Manage large-scale AI projects; Implement predictive analytics solutions; Optimize ML/AI pipelines; Provide strategic business insights,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps,Python,Java,C++,R,Deep Learning,Nlp,Computer Vision,Generative Ai,Llms,Tensorflow,Pytorch,Keras,Scikit-Learn,Hugging Face,Onnx,Aws,Gcp,Azure,Docker,Kubernetes,Ci/Cd,Spark,Hadoop,Shap,Lime,,,,,,,,,,
AI020,AI Engineer - Experienced,Senior-Level,5+ years,Lead AI/ML projects; Deploy and scale deep learning and NLP models; Optimize cloud pipelines; Mentor junior AI engineers and lead teams,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps,Python,Java,C++,R,Deep Learning,Nlp,Computer Vision,Reinforcement Learning,Llms,Tensorflow,Pytorch,Keras,Scikit-Learn,Hugging Face,Onnx,Aws,Gcp,Azure,Docker,Kubernetes,Ci/Cd,Spark,Hadoop,Shap,Lime,,,,,,,,,,
AI-F-001,AI Prompt Engineer,Fresher,0-1,Assist in designing prompts for AI models; Test and evaluate prompt effectiveness; Collaborate with AI/data science teams; Document prompt experiments; Support AI model integration tasks,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; AI Model Optimization; Hugging Face; GPT; Data Analysis,Python,Javascript,Intro To Nlp,Hugging Face Transformers,Spacy,Nltk,Prompt Writing Fundamentals,Openai Gpt Models Intro,Tensorflow,Pytorch,Critical Thinking,Communication,Collaboration,Creativity,,,,,,,,,,,,,,,,,,,,,
AI-F-002,AI Prompt Engineer,Fresher,0-1,Write and test basic prompts for AI models; Assist in NLP-related tasks; Collaborate with data science teams; Document prompt testing results; Support AI platform integration; Learn AI model evaluation techniques,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; AI Model Optimization,Python,Javascript,Intro To Nlp,Hugging Face,Spacy,Nltk,Prompt Writing,Gpt Model Exposure,Tensorflow,Pytorch,Problem-Solving,Communication,Teamwork,Creativity,,,,,,,,,,,,,,,,,,,,,
AI-F-003,AI Prompt Engineer,Fresher,0-1,Assist in prompt design for AI models; Evaluate prompt outcomes; Support AI/data science team tasks; Document experiments; Learn NLP libraries; Assist in integration of prompts into AI applications,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; Data Analysis,Python,Javascript,Intro To Nlp,Hugging Face,Spacy,Nltk,Prompt Writing Fundamentals,Openai Gpt Models Exposure,Tensorflow,Pytorch,Critical Thinking,Communication,Collaboration,Creativity,,,,,,,,,,,,,,,,,,,,,
AI-F-004,AI Prompt Engineer,Fresher,0-1,Write and test AI prompts; Support NLP tasks; Collaborate with AI/data science teams; Document prompt testing results; Assist with AI model integration; Learn and apply AI frameworks,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; Data Analysis,Python,Javascript,Nlp Introduction,Hugging Face,Spacy,Nltk,Prompt Writing Fundamentals,Gpt Models Intro,Tensorflow,Pytorch,Collaboration,Creativity,Problem-Solving,Communication,,,,,,,,,,,,,,,,,,,,,
AI-F-005,AI Prompt Engineer,Fresher,0-1,Assist in prompt development for AI models; Test prompt performance; Collaborate with AI/data science teams; Document experiments; Support AI integration projects; Learn prompt optimization techniques,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; AI Model Optimization,Python,Javascript,Intro To Nlp,Hugging Face,Spacy,Nltk,Prompt Writing,Openai Gpt Model,Tensorflow,Pytorch,Critical Thinking,Communication,Teamwork,Creativity,,,,,,,,,,,,,,,,,,,,,
AI-F-006,AI Prompt Engineer,Fresher,0-1,Write and refine prompts for AI models; Support NLP and data analysis tasks; Collaborate with AI/data teams; Document prompt results and learnings; Assist in AI model evaluation and integration,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; AI Model Optimization,Python,Javascript,Introductory Nlp,Hugging Face,Spacy,Nltk,Prompt Writing Fundamentals,Gpt Model Exposure,Tensorflow,Pytorch,Problem-Solving,Communication,Teamwork,Creativity,,,,,,,,,,,,,,,,,,,,,
AI-F-007,AI Prompt Engineer,Fresher,0-1,Assist in prompt creation for AI models; Test prompt performance; Collaborate with AI/data teams; Document experiments; Support AI model integration and evaluation,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; Data Analysis,Python,Javascript,Intro Nlp,Hugging Face,Spacy,Nltk,Prompt Writing,Openai Gpt Intro,Tensorflow,Pytorch,Communication,Teamwork,Problem-Solving,Creativity,,,,,,,,,,,,,,,,,,,,,
AI-F-008,AI Prompt Engineer,Fresher,0-1,Write and test AI prompts; Assist NLP-related tasks; Collaborate with AI/data teams; Document prompt results; Support AI model evaluation and integration,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; AI Model Optimization,Python,Javascript,Nlp,Hugging Face,Spacy,Nltk,Prompt Writing Fundamentals,Gpt Models Intro,Tensorflow,Pytorch,Critical Thinking,Collaboration,Communication,Creativity,,,,,,,,,,,,,,,,,,,,,
AI-F-009,AI Prompt Engineer,Fresher,0-1,Assist in prompt design and testing; Collaborate with AI/data science teams; Document prompt experiments; Learn prompt optimization techniques; Support AI integration projects,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; Data Analysis,Python,Javascript,Intro To Nlp,Hugging Face,Spacy,Nltk,Prompt Writing,Openai Gpt,Tensorflow,Pytorch,Problem-Solving,Communication,Teamwork,Creativity,,,,,,,,,,,,,,,,,,,,,
AI-F-010,AI Prompt Engineer,Fresher,0-1,Assist in AI prompt creation and testing; Support NLP tasks; Collaborate with AI/data science teams; Document prompt outcomes; Help integrate prompts with AI models,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; AI Model Optimization,Python,Javascript,Nlp,Hugging Face,Spacy,Nltk,Prompt Writing Fundamentals,Gpt Models Intro,Tensorflow,Pytorch,Critical Thinking,Collaboration,Creativity,Communication,,,,,,,,,,,,,,,,,,,,,
AI-E-011,AI Prompt Engineer,Experienced,3+,Design and optimize prompts for LLMs; Apply advanced NLP techniques for prompt tuning; Collaborate with AI and data science teams; Implement AI model evaluation metrics; Develop prompt optimization strategies; Lead prompt-related projects; Mentor junior prompt engineers,Prompt Optimization; LLM; Machine Learning; NLP; Python; AI Frameworks; API Integration; AI Ethics; Model Fine-tuning,Python,Javascript Advanced,Deep Nlp Ise,Hugging Face Transformers,Tensorflow,Pytorch,Prompt Design (Chain-Of-Thought,Iterative Optimization),Openai Api,Azure Cognitive Services,Machine Learning For Prompt Tuning,Data Analysis,Collaboration,Problem-Solving,Leadership,Creativity,,,,,,,,,,,,,,,,,,,
AI-E-012,AI Prompt Engineer,Experienced,3+,Develop and fine-tune AI prompts; Lead prompt optimization initiatives; Collaborate with AI/data science teams for deployment; Design prompt evaluation metrics; Document prompt design patterns; Mentor junior engineers on prompt engineering best practices,Prompt Optimization; LLM; Machine Learning; NLP; Python; AI Frameworks; API Integration,Python Advanced,Javascript,Nlp Frameworks,Hugging Face Transformers,Pytorch,Tensorflow,Chain-Of-Thought Prompting,Iterative Prompt Optimization,Openai Api,Azure Cognitive Services,Machine Learning Analysis,Data Visualization,Leadership,Problem-Solving,Collaboration,,,,,,,,,,,,,,,,,,,,
AI-E-013,AI Prompt Engineer,Experienced,3+,Lead prompt engineering efforts; Optimize prompt performance for LLMs; Collaborate with cross-functional AI teams; Implement prompt testing strategies; Provide mentorship on prompt engineering; Document prompt design improvements,Prompt Optimization; LLM; NLP; Python; AI Frameworks; Model Fine-tuning,Python,Nlp,Hugging Face Transformers,Pytorch,Tensorflow,Prompt Chain-Of-Thought,Iterative Prompt Design,Openai Api,Azure Cognitive Services,Data Analytics,Collaboration,Leadership,Critical Thinking,Communication,Creativity,,,,,,,,,,,,,,,,,,,,
AI-E-014,AI Prompt Engineer,Experienced,3+,Design advanced prompts for AI models; Perform prompt evaluation and tuning; Collaborate with AI teams for integration; Implement metrics for prompt effectiveness; Lead knowledge sharing sessions on prompt engineering,Prompt Optimization; LLM; Python; AI Frameworks; API Integration; Model Fine-tuning,Python,Javascript,Nlp Techniques,Tensorflow,Pytorch,Hugging Face,Prompt Iterative Optimization,Chain-Of-Thought Prompting,Api Integration (Openai/Azure),Data Analysis,Leadership,Collaboration,Problem-Solving,Creativity,Critical Thinking,,,,,,,,,,,,,,,,,,,,
AI-E-015,AI Prompt Engineer,Experienced,3+,Lead development of AI prompt strategies; Optimize prompts for large-scale AI models; Mentor junior prompt engineers; Collaborate with AI and data teams; Document best practices for prompt design; Perform metrics-driven analysis of prompt effectiveness,Prompt Optimization; LLM; Machine Learning; NLP; Python; AI Frameworks; API Integration,Python,Nlp,Hugging Face Transformers,Pytorch,Tensorflow,Prompt Optimization Techniques,Chain-Of-Thought Prompts,Llm Tuning,Openai Api,Azure Cognitive Services,Data Analytics,Leadership,Problem-Solving,Collaboration,Creativity,,,,,,,,,,,,,,,,,,,,
AI-E-016,AI Prompt Engineer,Experienced,3+,Develop and optimize AI prompts; Lead prompt engineering initiatives; Collaborate with AI/data teams; Design evaluation metrics for prompt quality; Document prompt optimization strategies; Mentor junior engineers,Prompt Optimization; LLM; Python; AI Frameworks; Model Fine-tuning,Python,Javascript,Nlp,Tensorflow,Pytorch,Hugging Face,Prompt Chain-Of-Thought,Iterative Prompt Optimization,Openai Api,Azure Cognitive Services,Data Analysis,Leadership,Collaboration,Problem-Solving,Creativity,,,,,,,,,,,,,,,,,,,,
AI-E-017,AI Prompt Engineer,Experienced,3+,Lead prompt optimization projects; Evaluate prompt performance; Collaborate with cross-functional teams; Mentor junior engineers; Document prompt design patterns; Implement prompt evaluation metrics,Prompt Optimization; LLM; NLP; Python; AI Frameworks; Model Fine-tuning,Python,Nlp Frameworks,Hugging Face Transformers,Tensorflow,Pytorch,Chain-Of-Thought Prompting,Iterative Prompt Optimization,Openai Api,Azure Cognitive Services,Data Analytics,Collaboration,Leadership,Problem-Solving,Creativity,Critical Thinking,,,,,,,,,,,,,,,,,,,,
AI-E-018,AI Prompt Engineer,Experienced,3+,"Design, test, and optimize AI prompts; Lead prompt engineering initiatives; Collaborate with AI teams; Document best practices; Mentor junior engineers; Analyze prompt performance metrics",Prompt Optimization; LLM; Python; AI Frameworks; Model Fine-tuning,Python,Nlp,Hugging Face,Pytorch,Tensorflow,Prompt Design Optimization,Chain-Of-Thought Prompting,Openai Api,Azure Cognitive Services,Data Analysis,Leadership,Collaboration,Problem-Solving,Creativity,Critical Thinking,,,,,,,,,,,,,,,,,,,,
